ID	NAME		ATK	MONEY	DEF	HP	MP	NPCID	TYPE	PIC
16
201	轩辕古剑	200	300	20	0	0	101	0	轩
202	流光星陨刀	100	150	20	0	0	101	0	流
203	王之悲鸣	175	200	25	0	0	101	0	王
204	童话之森	400	800	0	0	200	101	0	童
205	S686霰弹枪	300	500	0	0	0	101	0	枪	
206	孤影流觞	289	400	0	0	0	101	0	孤
207	逐日之拳	312	432	0	0	0	101	0	逐
208	恶灵之末日	377	634	0	0	0	101	0	恶
209	清泉流响	999	9999	999	999	999	101	0	清	
210	大还丹		0	50	0	0	1000	104	10	还
211	大补丹		0	50	0	1000	0	104	10	补
212	皇帝的新装	10	200	100	300	200	105	1	皇
213	黑丝		500	1111	100	0	0	105	1	黑
214	神之羽翼	9999	9999	999	999	999	105	1	神
215	菜徐鸡		200	500	100	100	100	103	2	鸡
216	杰哥不要哇	999	9999	999	999	999	103	2	杰
